Smiles,solvent,ppm_values
CC(C)C(B1Nc2cccc3cccc(c23)N1)B1OC(C)(C)C(C)(C)O1,[2H]C(Cl)(Cl)Cl,34.0
COc1ccc(C(=[NH2+])[B-](F)(F)F)cc1,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],0.15
Cc1ccc(C)c(OCCCC(C)(C)C(=O)OCCC[C@H](CCCCc2ccccc2)B2OC(C)(C)C(C)(C)O2)c1,[2H]C(Cl)(Cl)Cl,34.07
FC(F)(F)c1cccc(C(F)(F)F)c1B(Cl)Cl,[2H]C(Cl)(Cl)Cl,57.5
CC1(C)OB([C@@H](Cc2cccc(F)c2)N2CCOC2=O)OC1(C)C,[2H]C(Cl)(Cl)Cl,32.04
CCNC(=O)[BH2-][n+]1ccccc1,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],-14.21
Cc1ccc(C(B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)C(c2ccccc2)[Si](C)(C)C)cc1,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],78.5
O=C1NB(c2cccc3ccccc23)Nc2ccccc21,[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],32.03
CC1(C)OB(c2sccc2Br)OC1(C)C,[2H]C(Cl)(Cl)Cl,28.7
CC1(C)OB(OCc2ccco2)OC1(C)C,[2H]C(Cl)(Cl)Cl,22.31
c1cnc2cc(NB(Nc3ccc4cccnc4c3)Nc3ccc4cccnc4c3)ccc2c1,[2H]c1c([2H])c([2H])c(C([2H])([2H])[2H])c([2H])c1[2H],24.7
CC1(C)OB([C@@H]2[C@H](B3OC(C)(C)C(C)(C)O3)[C@@]2(C)c2cccc3ccccc23)OC1(C)C,[2H]C(Cl)(Cl)Cl,33.2
CCCCC[C@H](NC(=O)c1ccsc1)B1OC(C)(C)C(C)(C)O1,[2H]C(Cl)(Cl)Cl,17.3
[N-]=[N+]=N[B-](c1c(F)cccc1F)(c1c(F)cccc1F)[n+]1ccccc1,[2H]C(Cl)(Cl)Cl,-2.5
CC1=C(C)N(CC(C)(C)C)B(Br)N1CCC(C)(C)C,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],21.0
CC([SiH3])B(CC[SiH3])C(C)[SiH3],[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],79.7
