config,seed,model_name,test_r2,test_rmse,test_mae
maccs,42,catboost,0.9174,6.27,3.0
maccs,43,catboost,0.9099,6.86,3.16
maccs,44,catboost,0.8752,7.72,3.43
maccs,42,extratrees,0.9013,6.85,3.23
maccs,43,extratrees,0.8752,8.07,3.93
maccs,44,extratrees,0.8656,8.01,3.57
maccs,42,histgradientboosting,0.9057,6.69,3.4
maccs,43,histgradientboosting,0.9014,7.17,3.28
maccs,44,histgradientboosting,0.878,7.64,3.72
maccs,42,lgbm,0.9106,6.52,3.21
maccs,43,lgbm,0.9029,7.12,3.19
maccs,44,lgbm,0.8814,7.53,3.61
maccs,42,randomforest,0.8801,7.55,3.99
maccs,43,randomforest,0.8701,8.23,3.92
maccs,44,randomforest,0.8233,9.19,4.56
maccs,42,ridge,0.7955,9.85,6.93
maccs,43,ridge,0.7765,10.8,7.13
maccs,44,ridge,0.748,10.97,7.15
maccs,42,xgboost,0.9253,5.96,2.8
maccs,43,xgboost,0.918,6.54,2.86
maccs,44,xgboost,0.8889,7.29,3.08
maccs_rdkit,42,catboost,0.7897,9.99,6.03
maccs_rdkit,43,catboost,0.9351,5.67,2.64
maccs_rdkit,44,catboost,0.9313,5.8,2.82
maccs_rdkit,42,extratrees,0.6843,12.25,7.62
maccs_rdkit,43,extratrees,0.9056,6.84,3.18
maccs_rdkit,44,extratrees,0.8966,7.11,3.45
maccs_rdkit,42,histgradientboosting,0.7976,9.8,5.89
maccs_rdkit,43,histgradientboosting,0.9411,5.4,2.59
maccs_rdkit,44,histgradientboosting,0.9325,5.75,2.98
maccs_rdkit,42,lgbm,0.7925,9.93,5.96
maccs_rdkit,43,lgbm,0.9367,5.6,2.59
maccs_rdkit,44,lgbm,0.9302,5.85,2.71
maccs_rdkit,42,randomforest,0.6768,12.39,7.83
maccs_rdkit,43,randomforest,0.8837,7.59,3.92
maccs_rdkit,44,randomforest,0.8785,7.71,3.91
maccs_rdkit,42,ridge,0.782,10.18,7.18
maccs_rdkit,43,ridge,0.8396,8.92,5.85
maccs_rdkit,44,ridge,0.8469,8.66,5.79
maccs_rdkit,42,xgboost,0.8047,9.63,5.97
maccs_rdkit,43,xgboost,0.9399,5.46,2.47
maccs_rdkit,44,xgboost,0.9354,5.63,2.48
molt5,42,catboost,0.7897,9.99,6.03
molt5,43,catboost,0.7623,11.14,6.57
molt5,44,catboost,0.7282,11.4,6.77
molt5,42,extratrees,0.6843,12.25,7.62
molt5,43,extratrees,0.6764,13.0,8.04
molt5,44,extratrees,0.6171,13.53,8.18
molt5,42,histgradientboosting,0.7976,9.8,5.89
molt5,43,histgradientboosting,0.7599,11.19,6.57
molt5,44,histgradientboosting,0.7005,11.96,7.06
molt5,42,lgbm,0.7925,9.93,5.96
molt5,43,lgbm,0.7511,11.4,6.64
molt5,44,lgbm,0.7069,11.84,6.91
molt5,42,randomforest,0.6768,12.39,7.83
molt5,43,randomforest,0.6782,12.96,8.03
molt5,44,randomforest,0.6216,13.45,8.17
molt5,42,ridge,0.782,10.18,7.18
molt5,43,ridge,0.7426,11.59,8.11
molt5,44,ridge,0.705,11.87,8.0
molt5,42,xgboost,0.8047,9.63,5.97
molt5,43,xgboost,0.7534,11.34,7.2
molt5,44,xgboost,0.7149,11.67,6.91
molt5_maccs,42,catboost,0.8808,7.52,3.98
molt5_maccs,43,catboost,0.871,8.2,4.06
molt5_maccs,44,catboost,0.8192,9.3,4.49
molt5_maccs,42,extratrees,0.8156,9.36,5.09
molt5_maccs,43,extratrees,0.8296,9.43,5.11
molt5_maccs,44,extratrees,0.7698,10.49,5.64
molt5_maccs,42,histgradientboosting,0.8702,7.85,3.96
molt5_maccs,43,histgradientboosting,0.8752,8.07,3.82
molt5_maccs,44,histgradientboosting,0.8434,8.65,4.12
molt5_maccs,42,lgbm,0.8835,7.44,3.78
molt5_maccs,43,lgbm,0.8799,7.92,3.83
molt5_maccs,44,lgbm,0.8398,8.75,4.36
molt5_maccs,42,randomforest,0.7631,10.61,6.49
molt5_maccs,43,randomforest,0.7518,11.38,6.68
molt5_maccs,44,randomforest,0.7039,11.89,6.81
molt5_maccs,42,ridge,0.843,8.64,6.07
molt5_maccs,43,ridge,0.8224,9.63,6.47
molt5_maccs,44,ridge,0.799,9.8,6.45
molt5_maccs,42,xgboost,0.8925,7.14,3.6
molt5_maccs,43,xgboost,0.8853,7.74,3.65
molt5_maccs,44,xgboost,0.8358,8.86,4.25
molt5_morgan,42,catboost,0.8476,8.51,4.63
molt5_morgan,43,catboost,0.8381,9.19,4.95
molt5_morgan,44,catboost,0.922,6.18,3.09
molt5_morgan,42,extratrees,0.7741,10.36,5.55
molt5_morgan,43,extratrees,0.775,10.84,5.97
molt5_morgan,44,extratrees,0.8546,8.44,4.61
molt5_morgan,42,histgradientboosting,0.8432,8.63,4.42
molt5_morgan,43,histgradientboosting,0.8495,8.86,4.81
molt5_morgan,44,histgradientboosting,0.9305,5.83,2.92
molt5_morgan,42,lgbm,0.8489,8.47,4.59
molt5_morgan,43,lgbm,0.8516,8.8,4.68
molt5_morgan,44,lgbm,0.9249,6.06,2.9
molt5_morgan,42,randomforest,0.7119,11.7,7.04
molt5_morgan,43,randomforest,0.7223,12.04,7.25
molt5_morgan,44,randomforest,0.842,8.8,4.93
molt5_morgan,42,ridge,0.8162,9.34,6.37
molt5_morgan,43,ridge,0.8174,9.76,6.63
molt5_morgan,44,ridge,0.8975,7.09,4.57
molt5_morgan,42,xgboost,0.8469,8.53,4.5
molt5_morgan,43,xgboost,0.8415,9.1,4.77
molt5_morgan,44,xgboost,0.9308,5.82,2.76
molt5_rdkit,42,catboost,0.8489,8.47,4.25
molt5_rdkit,43,catboost,0.8917,7.32,4.08
molt5_rdkit,44,catboost,0.8797,7.67,3.96
molt5_rdkit,42,extratrees,0.714,11.65,6.76
molt5_rdkit,43,extratrees,0.759,10.93,6.49
molt5_rdkit,44,extratrees,0.7338,11.42,6.69
molt5_rdkit,42,histgradientboosting,0.867,7.95,4.03
molt5_rdkit,43,histgradientboosting,0.8787,7.75,3.87
molt5_rdkit,44,histgradientboosting,0.8859,7.48,3.78
molt5_rdkit,42,lgbm,0.8567,8.25,4.22
molt5_rdkit,43,lgbm,0.884,7.58,3.9
molt5_rdkit,44,lgbm,0.8793,7.69,3.83
molt5_rdkit,42,randomforest,0.7326,11.27,6.48
molt5_rdkit,43,randomforest,0.7638,10.82,6.39
molt5_rdkit,44,randomforest,0.778,10.43,6.14
molt5_rdkit,42,ridge,0.7779,10.27,6.96
molt5_rdkit,43,ridge,0.8168,9.53,6.56
molt5_rdkit,44,ridge,0.7904,10.13,6.98
molt5_rdkit,42,xgboost,0.8555,8.28,4.15
molt5_rdkit,43,xgboost,0.8739,7.9,3.95
molt5_rdkit,44,xgboost,0.8806,7.65,3.68
morgan,42,catboost,0.8585,8.2,4.35
morgan,43,catboost,0.8718,8.18,4.31
morgan,44,catboost,0.8468,8.56,4.72
morgan,42,extratrees,0.8188,9.28,4.28
morgan,43,extratrees,0.8757,8.06,3.94
morgan,44,extratrees,0.8418,8.69,4.4
morgan,42,histgradientboosting,0.8591,8.18,4.57
morgan,43,histgradientboosting,0.8656,8.38,4.73
morgan,44,histgradientboosting,0.8463,8.57,4.74
morgan,42,lgbm,0.8676,7.93,4.07
morgan,43,lgbm,0.8807,7.89,4.17
morgan,44,lgbm,0.8519,8.41,4.41
morgan,42,randomforest,0.7943,9.88,4.84
morgan,43,randomforest,0.8497,8.86,4.74
morgan,44,randomforest,0.8092,9.55,4.92
morgan,42,ridge,0.725,11.43,7.59
morgan,43,ridge,0.7604,11.18,7.58
morgan,44,ridge,0.7078,11.82,8.11
morgan,42,xgboost,0.8885,7.28,3.38
morgan,43,xgboost,0.8789,7.95,3.76
morgan,44,xgboost,0.8787,7.61,3.75
morgan_rdkit,42,catboost,0.898,6.96,3.18
morgan_rdkit,43,catboost,0.9263,6.04,3.05
morgan_rdkit,44,catboost,0.9257,6.03,2.92
morgan_rdkit,42,extratrees,0.8647,8.01,4.08
morgan_rdkit,43,extratrees,0.8683,8.08,4.01
morgan_rdkit,44,extratrees,0.8711,7.95,4.0
morgan_rdkit,42,histgradientboosting,0.8989,6.93,3.19
morgan_rdkit,43,histgradientboosting,0.9191,6.33,3.0
morgan_rdkit,44,histgradientboosting,0.9314,5.79,2.96
morgan_rdkit,42,lgbm,0.8969,7.0,3.13
morgan_rdkit,43,lgbm,0.927,6.01,2.81
morgan_rdkit,44,lgbm,0.9258,6.03,2.97
morgan_rdkit,42,randomforest,0.8332,8.9,4.63
morgan_rdkit,43,randomforest,0.8322,9.12,4.6
morgan_rdkit,44,randomforest,0.8473,8.65,4.5
morgan_rdkit,42,ridge,0.8121,9.45,6.44
morgan_rdkit,43,ridge,0.8107,9.69,6.44
morgan_rdkit,44,ridge,0.8265,9.22,6.17
