Smiles,solvent,B_count,ppm_values
CC1(C)OB(C[C@](C)(CCCCCc2ccccc2)/C(=N/N2CCCCC2)C(F)(F)F)OC1(C)C,[2H]C(Cl)(Cl)Cl,1,34
CCCCCCC(C)(CB1OC(C)(C)C(C)(C)O1)/C(=N/N1CCCCC1)C(F)(F)F,[2H]C(Cl)(Cl)Cl,1,32.8
CCCCCC(C)(CB1OC(C)(C)C(C)(C)O1)/C(=N/N1CCCCC1)C(F)(F)F,[2H]C(Cl)(Cl)Cl,1,32.8
CCCCCCCC(C)(CB1OC(C)(C)C(C)(C)O1)/C(=N/N1CCCCC1)C(F)(F)F,[2H]C(Cl)(Cl)Cl,1,33.3
CCCCCCCCC(C)(CB1OC(C)(C)C(C)(C)O1)/C(=N/N1CCCCC1)C(F)(F)F,[2H]C(Cl)(Cl)Cl,1,33.4
CCCCCCCCCC(C)(CB1OC(C)(C)C(C)(C)O1)/C(=N/N1CCCCC1)C(F)(F)F,[2H]C(Cl)(Cl)Cl,1,33.1
CCCCCCCCCCC(C)(CB1OC(C)(C)C(C)(C)O1)/C(=N/N1CCCCC1)C(F)(F)F,[2H]C(Cl)(Cl)Cl,1,34.2
CCCCCCCCCCCCC(C)(CB1OC(C)(C)C(C)(C)O1)/C(=N/N1CCCCC1)C(F)(F)F,[2H]C(Cl)(Cl)Cl,1,33.9
CCCCCCCCCCCCCCC(C)(CB1OC(C)(C)C(C)(C)O1)/C(=N/N1CCCCC1)C(F)(F)F,[2H]C(Cl)(Cl)Cl,1,33.9
CC(C)CCC(C)(CB1OC(C)(C)C(C)(C)O1)/C(=N/N1CCCCC1)C(F)(F)F,[2H]C(Cl)(Cl)Cl,1,33
CC(C)CCCCC(C)(CB1OC(C)(C)C(C)(C)O1)/C(=N/N1CCCCC1)C(F)(F)F,[2H]C(Cl)(Cl)Cl,1,32.8
CC(CCCCCF)(CB1OC(C)(C)C(C)(C)O1)/C(=N/N1CCCCC1)C(F)(F)F,[2H]C(Cl)(Cl)Cl,1,32.5
CCCCCCOCCCCC(C)(CB1OC(C)(C)C(C)(C)O1)/C(=N/N1CCCCC1)C(F)(F)F,[2H]C(Cl)(Cl)Cl,1,34.4
CCCCCCOCCCCCC(C)(CB1OC(C)(C)C(C)(C)O1)/C(=N/N1CCCCC1)C(F)(F)F,[2H]C(Cl)(Cl)Cl,1,34.3
CC(CB1OC(C)(C)C(C)(C)O1)(CC1CCC1)/C(=N/N1CCCCC1)C(F)(F)F,[2H]C(Cl)(Cl)Cl,1,32.8
CC(CB1OC(C)(C)C(C)(C)O1)(CC1CCCC1)/C(=N/N1CCCCC1)C(F)(F)F,[2H]C(Cl)(Cl)Cl,1,32.8
CC(CB1OC(C)(C)C(C)(C)O1)(CC1CCCCC1)/C(=N/N1CCCCC1)C(F)(F)F,[2H]C(Cl)(Cl)Cl,1,32.8
CC(CCC1CCCC1)(CB1OC(C)(C)C(C)(C)O1)/C(=N/N1CCCCC1)C(F)(F)F,[2H]C(Cl)(Cl)Cl,1,33.4
CC(CCC1CCCCC1)(CB1OC(C)(C)C(C)(C)O1)/C(=N/N1CCCCC1)C(F)(F)F,[2H]C(Cl)(Cl)Cl,1,33.6
CC(CCCC1CCCCC1)(CB1OC(C)(C)C(C)(C)O1)/C(=N/N1CCCCC1)C(F)(F)F,[2H]C(Cl)(Cl)Cl,1,32.9
Cc1ccc(CCCC(C)(CB2OC(C)(C)C(C)(C)O2)/C(=N/N2CCCCC2)C(F)(F)F)cc1,[2H]C(Cl)(Cl)Cl,1,33.7
COc1ccc(CCCC(C)(CB2OC(C)(C)C(C)(C)O2)/C(=N/N2CCCCC2)C(F)(F)F)cc1,[2H]C(Cl)(Cl)Cl,1,32.7
CC(CCCc1ccc(C(F)(F)F)cc1)(CB1OC(C)(C)C(C)(C)O1)/C(=N/N1CCCCC1)C(F)(F)F,[2H]C(Cl)(Cl)Cl,1,33.7
Cc1ccc(CCCCC(C)(CB2OC(C)(C)C(C)(C)O2)/C(=N/N2CCCCC2)C(F)(F)F)cc1,[2H]C(Cl)(Cl)Cl,1,33.5
COc1ccc(CCCCC(C)(CB2OC(C)(C)C(C)(C)O2)/C(=N/N2CCCCC2)C(F)(F)F)cc1,[2H]C(Cl)(Cl)Cl,1,32.9
Cc1ccccc1CCCC(C)(CB1OC(C)(C)C(C)(C)O1)/C(=N/N1CCCCC1)C(F)(F)F,[2H]C(Cl)(Cl)Cl,1,33.9
COc1cccc(CCCC(C)(CB2OC(C)(C)C(C)(C)O2)/C(=N/N2CCCCC2)C(F)(F)F)c1,[2H]C(Cl)(Cl)Cl,1,33.8
