Smiles,solvent,solvent_Smiles,chemical_shift,book_serial_num
B1NBNBN1,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],30.2,9
CC(C)[NH2+]C(C)C.[BH3-][P](=O)OC,D2O,[2H]O[2H],-41.86,48
FC(F)=C(Cl)[B-](F)(F)F.[K+],CD3CN,[2H]C([2H])([2H])C#N,0.78,64
FB(F)C(F)=C(F)F,d8-Toluene,[2H]c1c([2H])c([2H])c(C([2H])([2H])[2H])c([2H])c1[2H],21.8,65
FC(F)=C[B-](F)(F)F.[K+],CD3COCD3,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],2.29,68
F/C=C(/F)[B-](F)(F)F.[K+],CD3COCD3,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],0.39,69
C=C[B-](F)(F)F.[K+],CD3COCD3,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],3.4,70
[2H][B-](C(F)(F)F)(C(F)(F)F)C(F)(F)F.[K+],D2O,[2H]O[2H],-22.4,107
F[B-](F)(F)C#CC(F)(F)F.[K+],CD3COCD3,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],-2.4,108
FC(F)=C([B-](F)(F)F)C(F)(F)F.[K+],CD3CN,[2H]C([2H])([2H])C#N,1.03,113
F/C(=C(\F)C(F)(F)F)[B-](F)(F)F.[K+],CD3CN,[2H]C([2H])([2H])C#N,-0.25,114
F/C(=C(/F)C(F)(F)F)[B-](F)(F)F.[K+],CD3CN,[2H]C([2H])([2H])C#N,-0.3,115
O=[N+]([O-])[B-](C(F)(F)F)(C(F)(F)F)C(F)(F)F.[Cs+],CD3CN,[2H]C([2H])([2H])C#N,-9.8,117
F[B-](C(F)(F)F)(C(F)(F)F)C(F)(F)F,CD3COCD3,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],-7.3,118
F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)F.[K+],CD3CN,[2H]C([2H])([2H])C#N,-0.64,119
FC(F)(F)[BH-](C(F)(F)F)C(F)(F)F.[Cs+],D2O,[2H]O[2H],-22.2,121
O[B-](C(F)(F)F)(C(F)(F)F)C(F)(F)F.[Cs+],CD3CN,[2H]C([2H])([2H])C#N,-10.6,122
F[B-](F)(F)/C=C/CCl.[K+],CD3COCD3,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],4.6,124
F[B-](F)(F)C1CC1CCl.[K+],CD3COCD3,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],2.62,125
C=CCB(Cl)Cl,CDCl3,[2H]C(Cl)(Cl)Cl,61.4,127
C=CCB(F)F,CDCl3,[2H]C(Cl)(Cl)Cl,27.6,128
CCCC[N+](CCCC)(CCCC)CCCC.O=CCC[B-](F)(F)F,CDCl3,[2H]C(Cl)(Cl)Cl,3.27,129
CC1([B-](F)(F)F)CO1.[K+],d6-DMSO,[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],3.58,130
COC(=O)[BH2-]C#N.[K+],D2O,[2H]O[2H],-33.5,131
Cl[Si](Cl)(Cl)CB1NB(C[Si](Cl)(Cl)Cl)NB(C[Si](Cl)(Cl)Cl)N1,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],32.8,134
[Li]N1B(C)NB(C)NB1C,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],35.4,139
CN1BN(C)BN(C)B1,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],33.2,143
C=P(O)(O)[BH2-][N+](C)(C)C,d6-DMSO,[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],-9.6,146
C[N+](C)(C)[BH2-]P,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],-6.7,147
C[N+](C)(C)[BH2-]P(O)(O)=S,CD2Cl2,[2H]C([2H])(Cl)Cl,-9.2,148
C[N+](C)(C)[BH2-]P(O)(O)=[Se],CD2Cl2,[2H]C([2H])(Cl)Cl,-9.2,149
[BH3-][PH2+][BH2-][N+](C)(C)C,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],-39.5;-10.3,156
FC(F)=C(F)[B-](F)(C(F)(F)F)C(F)(F)F.[Cs+],CD3CN,[2H]C([2H])([2H])C#N,-6.4,162
N#C[B-](C#N)(C#N)C#N.[Li+],CD3CN,[2H]C([2H])([2H])C#N,68.5,166
C#C[B-](F)(C(F)(F)F)C(F)(F)F.[K+],CDCl3,[2H]C(Cl)(Cl)Cl,-8.7,167
O[B-](F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F.[K+],CD3CN,[2H]C([2H])([2H])C#N,0.1,168
C=C[B-](F)(C(F)(F)F)C(F)(F)F.[K+],CDCl3,[2H]C(Cl)(Cl)Cl,-4.7,169
COC(=O)[BH-](C#N)C#N.[K+],D2O,[2H]O[2H],-32.7,171
COC(=O)[B-](O)(C#N)C#N.[K+],CD3CN,[2H]C([2H])([2H])C#N,-15.1,172
F[B-](F)(F)/C(=C/CCl)CCl.[K+],CD3COCD3,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],3,173
C=CC(=C)[B-](F)(F)F.[K+],d6-DMSO,[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],3.63,174
CCC[B-](F)(C(F)(F)F)C(F)(F)F.[K+],CDCl3,[2H]C(Cl)(Cl)Cl,-1.9,175
C=C(C)CB(F)F,CDCl3,[2H]C(Cl)(Cl)Cl,27.6,181
C/C=C\CB(F)F,CDCl3,[2H]C(Cl)(Cl)Cl,27.7,182
C=CCC[B-](F)(F)F.[K+],CDCl3,[2H]C(Cl)(Cl)Cl,4.85,183
C=CCC[B-](F)(F)F.[K+],CD3COCD3,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],7.36,183
F[B-](F)(F)CCC1CO1.[K+],d6-DMSO,[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],5.88,184
CC(=O)CC[B-](F)(F)F.[K+],CD3COCD3,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],5.65,185
CC(=O)CC[B-](F)(F)F.[K+],CDCl3 ,[2H]C(Cl)(Cl)Cl ,5.38,185
CN(C)[BH-](C(F)(F)F)C(F)(F)F.[K+],CD3CN,[2H]C([2H])([2H])C#N,-11.2,186
