compound_id,Smiles,source_doi,nmr_11b_frequency_mhz,nmr_11b_solvent,nmr_11b_shifts_ppm
(R)-34b,CC1(C)OB(C[C@](C)(CCCCCc2ccccc2)/C(=N/N2CCCCC2)C(F)(F)F)OC1(C)C,10-1007_s11426-024-2106-3,128,[2H]C(Cl)(Cl)Cl,34
(R)-1b,CCCCCCC(C)(CB1OC(C)(C)C(C)(C)O1)/C(=N/N1CCCCC1)C(F)(F)F,10-1007_s11426-024-2106-3,128,[2H]C(Cl)(Cl)Cl,32.8
(S)-2b,CCCCCC(C)(CB1OC(C)(C)C(C)(C)O1)/C(=N/N1CCCCC1)C(F)(F)F,10-1007_s11426-024-2106-3,128,[2H]C(Cl)(Cl)Cl,32.8
(S)-3b,CCCCCCCC(C)(CB1OC(C)(C)C(C)(C)O1)/C(=N/N1CCCCC1)C(F)(F)F,10-1007_s11426-024-2106-3,128,[2H]C(Cl)(Cl)Cl,33.3
(S)-4b,CCCCCCCCC(C)(CB1OC(C)(C)C(C)(C)O1)/C(=N/N1CCCCC1)C(F)(F)F,10-1007_s11426-024-2106-3,128,[2H]C(Cl)(Cl)Cl,33.4
(S)-5b,CCCCCCCCCC(C)(CB1OC(C)(C)C(C)(C)O1)/C(=N/N1CCCCC1)C(F)(F)F,10-1007_s11426-024-2106-3,128,[2H]C(Cl)(Cl)Cl,33.1
(S)-6b,CCCCCCCCCCC(C)(CB1OC(C)(C)C(C)(C)O1)/C(=N/N1CCCCC1)C(F)(F)F,10-1007_s11426-024-2106-3,128,[2H]C(Cl)(Cl)Cl,34.2
(S)-7b,CCCCCCCCCCCCC(C)(CB1OC(C)(C)C(C)(C)O1)/C(=N/N1CCCCC1)C(F)(F)F,10-1007_s11426-024-2106-3,128,[2H]C(Cl)(Cl)Cl,33.9
(S)-8b,CCCCCCCCCCCCCCC(C)(CB1OC(C)(C)C(C)(C)O1)/C(=N/N1CCCCC1)C(F)(F)F,10-1007_s11426-024-2106-3,128,[2H]C(Cl)(Cl)Cl,33.9
(S)-10b,CC(C)CCC(C)(CB1OC(C)(C)C(C)(C)O1)/C(=N/N1CCCCC1)C(F)(F)F,10-1007_s11426-024-2106-3,128,[2H]C(Cl)(Cl)Cl,33
(S)-11b,CC(C)CCCCC(C)(CB1OC(C)(C)C(C)(C)O1)/C(=N/N1CCCCC1)C(F)(F)F,10-1007_s11426-024-2106-3,128,[2H]C(Cl)(Cl)Cl,32.8
(S)-12b,CC(CCCCCF)(CB1OC(C)(C)C(C)(C)O1)/C(=N/N1CCCCC1)C(F)(F)F,10-1007_s11426-024-2106-3,128,[2H]C(Cl)(Cl)Cl,32.5
(S)-13b,CCCCCCOCCCCC(C)(CB1OC(C)(C)C(C)(C)O1)/C(=N/N1CCCCC1)C(F)(F)F,10-1007_s11426-024-2106-3,128,[2H]C(Cl)(Cl)Cl,34.4
(S)-14b,CCCCCCOCCCCCC(C)(CB1OC(C)(C)C(C)(C)O1)/C(=N/N1CCCCC1)C(F)(F)F,10-1007_s11426-024-2106-3,128,[2H]C(Cl)(Cl)Cl,34.3
